Video Title,View count,Channel
One of the most inspiring stories in NBA History!,2.1M views,Omar Raja - ESPN
All 30 First Round Picks Of The 2022 #NBADraft,1.1M views,NBA
Stupidly Expensive Things NBA Legends Own,933K views,HoopFlix
NBA Draft 2022 Live,754K views,Chat Sports
LIVE: 2022 #NBADraft presented by State Farm Press Conference,693K views,NBA
Kevin Durant Reacts To The Warriors Winning The 2022 NBA Championship. HoopJab NBA,677K views,HoopJab
Golden State Warriors Introductions at 2022 Championship Parade 🔥,602K views,House of Highlights
2022 NBA Finals | #CHASINGHISTORY | MINI-MOVIE Full Compilation,607K views,NBA
All 30 First Round Picks of 2022 NBA Draft,574K views,House of Highlights
2022 NBA DRAFT LIVESTREAM!,538K views,TheFlightMike
KD responds to legacy slander after Warriors win NBA title | Chris Broussard reacts,523K views,Undisputed: Skip and Shannon
"NBA ""Ultra Rare"" MOMENTS",529K views,KingSwish
Watch Warriors' 2022 NBA championship parade in San Francisco | Full Parade | NBC Sports Bay Area,517K views,NBC Sports Bay Area &amp; California
Paolo Banchero | 2021-22 Highlights,507K views,Sports Productions
DELUSIONAL! Stephen A.'s reaction to Kyrie &amp; the Nets being at an impasse | First Take,484K views,ESPN
Stephen A. reacts to the Knicks’ 2022 NBA Draft moves 👀🍿 | First Take,473K views,ESPN
Is it a bad look for Kevin Durant to clap back at Charles Barkley? | First Take,421K views,NBA on ESPN
Stephen A.: The fact is Kevin Durant has more hardware than Charles Barkley! | First Take,407K views,ESPN
"Kyrie Irving &amp; Nets reach impasse, Lakers &amp; Knicks rumored to be interested | NBA | UNDISPUTED",407K views,Skip and Shannon: UNDISPUTED
What are the odds of Lakers acquiring Kyrie Irving from Nets? | NBA | UNDISPUTED,407K views,Skip and Shannon: UNDISPUTED
